1.66246,103.59877
1.66137,103.60325
1.65416,103.60965
1.65093,103.61135
1.64837,103.61323
1.64534,103.61631
1.63998,103.62432
1.6359,103.62965
1.63311,103.63311
1.62797,103.63869
1.62016,103.64607
1.61231,103.64738
1.60117,103.64495
1.59657,103.64541
1.59061,103.64793
1.57145,103.66051
1.56494,103.66053
1.55406,103.65876
1.54469,103.65764
1.54068,103.65978
1.53572,103.6646
1.52831,103.67061
1.52227,103.67983
1.51932,103.68192
1.51202,103.68703
1.50875,103.68927
1.5008,103.69585
1.49853,103.69909
1.497,103.70157
1.48962,103.71198
1.47471,103.72484
1.46332,103.73134
1.45934,103.73904
1.45726,103.74732
1.45655,103.74952
1.45567,103.76266
1.46291,103.76502
