1.46368,103.76511
1.45423,103.7579
1.45611,103.74975
1.45941,103.73819
1.46324,103.73126
1.47297,103.72512
1.48919,103.71224
1.4939,103.70521
1.49708,103.70086
1.50821,103.68933
1.51673,103.68356
1.5224,103.67959
1.52833,103.6703
1.53502,103.66479
1.53631,103.6637
1.53976,103.66047
1.5448,103.65738
1.55452,103.65859
1.59037,103.64785
1.59619,103.64527
1.60061,103.64472
1.60592,103.64772
1.61283,103.64722
1.62047,103.64574
1.62911,103.63739
1.63242,103.63373
1.63311,103.63295
1.63536,103.63016
1.63923,103.62504
1.64535,103.61612
1.64725,103.61395
1.65187,103.61048
1.65467,103.60943
1.66085,103.60427
1.66246,103.59877
